video_id,summary,category
7340748820130647326,"The video is a commentary on the new $20 minimum wage law for fast food restaurants in California. The video features two individuals, one wearing a blue jacket and the other wearing a brown jacket, discussing the law and its implications. The video also includes a close-up of a sandwich on a wooden tray, with the text ""We're so excited to announce California's new $20 minimum wage for fast food restaurants."" The video ends with the two individuals making a toast with the sandwich.",1. News
7365322515998068011,"The video features a person wearing glasses and a gray hooded jacket, standing in a park with trees and grass. The person is speaking about the dangers of the encampments on campus and the presence of weapons. The person mentions that they are at one of the encampments and are concerned about the presence of weapons and the potential danger. The person also mentions that they are at one of the encampments and are concerned about the presence of weapons. The person mentions that they are at one of the encampments and are concerned about the presence of weapons. The person mentions that they are at one of the encampments and are concerned about the presence of weapons. The person mentions that",1. News
7323689375043243269,Friends are sitting on a couch.,1. News
7341253553245408558,"The video features a woman in a light blue pajama set, explaining the importance of owning a home for her family. She emphasizes the sacrifices her family made to ensure they had a place to live and expresses her gratitude for the opportunity to take care of them. She also discusses the challenges of being the sole caregiver for her family and the financial burden it puts on her. The video concludes with her acknowledging the sacrifices her family made and expressing her gratitude for the opportunity to take care of them.",Family
7395058028594122014,"The video features a series of scenes with a man in a suit and tie, speaking about the importance of the election issues. He is seen in different settings, including a news studio, a car, and a beach. The man is seen flexing his muscles and standing in front of a building. The video ends with the man standing in front of a building with the words ""John F. Kennedy"" and ""Presidential Library and Museum"" on the sign.",Politics
7407322364309949728,"The video captures a group of performers on a stage, dressed in casual clothing with a mix of orange and black jackets. The performers are energetically dancing and singing, with the audience visible in the background. The stage is decorated with a vibrant blue and pink backdrop, and the performers are surrounded by a large crowd. The performers are seen performing a choreographed routine, with the audience clapping along to the music. The video concludes with the performers standing still, with the audience still clapping along to the music.","Music, Singing, & Dancing"
7354696392129924385,"The video showcases a series of close-up shots of a red and black sports car at an auto show. The car is detailed with a carbon fiber body, black wheels, and a shiny red interior. The car is parked in a showroom with other cars and people in the background. The car's design is sleek and modern, with a prominent front grille and headlights. The showroom is well-lit, and the car is showcased in a showroom setting.",1. News
7223384947938053418,"The video starts with a close-up of a person wearing a dark blue shirt with green text on it. The person is holding a small, light-colored armadillo. The scene transitions to the armadillo being held by the person, then the armadillo is shown lying on a tiled floor, and the person is seen holding it again. The text on the screen reads ""armadillos have been given a reputation, specifically the nine banded armadillo that is from the American South. And the reason for this is because they are known for being able to carry leprosy."" The video then shows the armadillo being held by the person, and the text changes to",Science & Technology
7366736772253977889,"The video discusses the fate of Tuvalu, a small island nation in the Pacific, as it faces the threat of rising sea levels and potential loss of its territory and statehood. The government of Tuvalu is exploring the possibility of becoming a virtual country, creating a digital identity and governance structure to ensure the survival of its people and culture. The video highlights the challenges and opportunities presented by this transition, including the need for digital passports and the transfer of government activities to the cloud. The video emphasizes the importance of preserving Tuvalu's sovereignty and cultural identity in the face of climate change.",Science & Technology
7395616033127648554,A woman wearing a black outfit is standing in a room. She is holding a black bag and talking to the camera.,Science & Technology
7302484543691328810,...were seen running for cover as the explosion continued to shake the ground.,1. News
