video_id,summary,category
7340748820130647326,The video shows a group of people sitting at a table in an office setting. They are discussing the new $20 minimum wage for fast food restaurants in California. One person is holding a sandwich and asking questions about the exemption for Panera Bread. The video also includes text overlays that provide additional information about the new wage law and the criticism of the exemption for Panera Bread.,1. News
7365322515998068011,"The video starts with a person standing in front of a podium, with a backdrop of the U.S. Capitol building. The text on the screen reads ""STICH INCOMING VOK ENCAMPMENT'S EXPOSED!!!!"" and ""we're here to discuss the little Gazas that have risen up on campuses across America."" The person is wearing a suit and tie, and the background includes a flag and a building with a dome. The scene then transitions to an outdoor setting with a person wearing a denim jacket and a gray hoodie, standing in front of a tent with a sign that reads ""JEWS AGAINST ZIONISM."" The text on",1. News
7323689375043243269,"The video features a white cat standing on a blue couch in a modern living room. The cat is holding a small object in its paws, possibly a toy or a treat. The room has a wooden floor, a large window, and a bookshelf filled with books. The cat appears to be interacting with the camera, looking directly at the viewer. The video is captioned with Russian text that reads ""Вам подавая варьируйки котику у домару прикурируй миль, екину картину вс",Friends
7341253553245408558,"The video features a person in a light blue shirt with white patterns, wearing a necklace with small white beads and pearl earrings. They are in a room with a window in the background, and the person is seen applying makeup, using a brush and a compact. The person is also seen holding a small container of makeup, possibly a lipstick, and a small round object, possibly a makeup brush. The person is talking about their family and their decision to buy a house for their entire family. They mention that they expect their brothers to move out when they have babies, and that they will be the one to take care of their family. The person also mentions that they are their parents'",Beauty Care
7395058028594122014,"The video features a man in a suit and tie, speaking against a blue background. He is followed by a man in a suit and tie, standing at a podium with the text ""JOHN F. KENNEDY PRESIDENTIAL LIBRARY AND MUSEUM"" on the screen. The man in the suit and tie is then seen in a car, followed by a shirtless man flexing his muscles on a rocky beach. The video concludes with a man in a striped shirt standing in front of a store, followed by a shirtless man standing in a pool.",Politics
7407322364309949728,"The video shows a group of people performing on stage. The group consists of a person in the center wearing an orange jacket with the word ""KEI"" written on it, and several other people around them. The stage is brightly lit with colorful lights, and the group is dancing and moving in unison. The audience can be seen in the foreground, watching the performance. The video also includes a text overlay that reads ""I don't wanna die Before we love, we love, this feeling, babe Cause it's enough, enough, can't be this way Before we love, we love, this feeling, babe I love it, I like it, but I don't w","Music, Singing, & Dancing"
7354696392129924385,"The video showcases a series of images featuring a red sports car at a car show. The car is positioned in a showroom, with its sleek design and aerodynamic features highlighted. The car's exterior is made of carbon fiber, giving it a distinctive and luxurious appearance. The interior of the car is also visible, showcasing a high-end design with a black leather interior. The car's wheels are black with yellow brake calipers, adding to its sporty aesthetic. The car is surrounded by other cars and people, indicating that it is part of a car show. The video also includes a close-up of the car's front grille, which features the Lamborghini logo, and a",1. Autos & Vehicles
7223384947938053418,"The video shows a person wearing a dark blue shirt with green text on it. The person is standing in a room with a tiled floor. There are several armadillos on the floor, and they are interacting with a small white and brown kitten. The text on the screen reads, ""Armadillos have been given a reputation, specifically the nine banded armadillo that is from the American South. And the reason for this is because they are known for being able to carry leprosy. Leprosy is a very ancient disease that is actually in modern times, not only very curable, but it's actually kind of a weak disease. It basically, if it's too hot",7. Pets & Animals
7366736772253977889,"The video starts with an aerial view of a coastal area, showing a mix of land and water. The text overlay asks, ""Is a country still a country if it sinks?"" The scene then shifts to a map of the Pacific, highlighting Tuvalu, and the text overlay changes to ""Is a country still a country if it sinks?"" The video then shows a map of the Pacific, highlighting Tuvalu, and the text overlay changes to ""Is a country still a country if it sinks?"" The scene then shifts to a map of the Pacific, highlighting Tuvalu, and the text overlay changes to ""Is a country still a country if it sinks?"" The scene then shifts to a",Politics
7395616033127648554,"The video shows a person standing in a room, wearing a black shirt and black pants. The person is holding a mirror and taking a selfie. The room has a bed, a dresser, and a mirror. The person is wearing a bracelet on their wrist. The video ends with the person still holding the mirror and taking the selfie.",24. Fitness & Health
7302484543691328810,"The video is a series of black screens with white text. The text reads ""MEERERGYENCY RELIEF DISTRIBUTION OCTOBER 12TH, 2023. Stop the killing top the hate. Time to donate."" The text is in a bold, sans-serif font and is centered on the screen. The background is completely black, and there are no other objects or colors in the video. The video appears to be a call to action for donations to a relief distribution event in Gaza.",1. News
7383627859803393313,"The video shows a man sitting at a desk in an office, wearing a white polo shirt and black pants. He is speaking and gesturing with his hands. The background is a typical office setting with a computer monitor and other office supplies visible. The man is seen using a computer mouse and typing on a keyboard. The video also includes text overlays in yellow that appear on the screen as the man speaks, providing commentary on his statements. The text overlays include phrases such as ""A ENCORE,"" ""LE SON PORTRAIT,"" ""LE SUCCES,"" ""DU MATCH,"" ""DU MATCH,"" ""DU MATCH,"" ""DU M",Sports
7366011789085035809,"Two men are standing on a stage at a conference. One man is holding a cane and the other is holding a microphone. They are both wearing suits and ties. The stage has a podium with the letters ""CDU"" on it. The background is blue and there are large screens with text on them.",Politics
7320342127790148907,"The video is a series of clips showing a police officer in a black uniform with a badge and a name tag that reads ""POLICE"" standing in front of a row of blue lockers. The officer is wearing a black beanie and sunglasses. The background is a plain wall with a window on the left side. The text ""PART 3"" is displayed in the bottom right corner of the screen throughout the video. The officer is seen standing in different positions, sometimes with his hands on his hips and sometimes with his hands in his pockets. The officer appears to be speaking to the camera, possibly explaining something or giving instructions. The video also includes text overlays that provide context and information",Politics
7394913119375527210,"A person wearing a camouflage cap and a gray shirt is standing in front of a plain wall. They are making various hand gestures, including pointing and holding their hand up to their face. The person appears to be speaking or reacting to something, as indicated by their facial expressions and hand movements. The background remains consistent throughout the video, with no changes in the setting or the person's position.",Politics
7309290162540858667,"The video starts with a news broadcast from the World News Tonight on ABC, featuring a man in a suit and tie sitting at a desk. The background shows a cityscape with a dark blue sky. The text on the screen reads ""HOME EXPLOSION ROCKS NEIGHBORHOOD"" and ""INVESTIGATION ARLINGTON, VIRGINIA HOME EXPLOSION."" The man is discussing the investigation into a home explosion in Arlington, Virginia, outside the Capitol. The scene transitions to a close-up of the man, with the text ""HOME EXPLOSION ROCKS NEIGHBORHOOD"" and ""INV",News
7380812058167708960,"The video is a humorous take on the transfer of a football player from England to Germany. It starts with a person in a blue shirt, who is seen making various gestures and pointing at different parts of the screen. The background is a split-screen format, with the top half showing a person in a red shirt and the bottom half showing a person in a blue shirt. The text at the top of the screen reads ""Germany over England"" and the text at the bottom reads ""Meet Jamal. See Jamal had a problem. Was he English or was he German? See Jamal was born in Germany but he moved to Southampton at age seven after his mum got into the University of",Sports
7368596585594359083,"The video starts with a split-screen format showing a person in a studio with a microphone and a large screen displaying a crowd of people in a public space. The text ""IN BIG"" appears at the top of the screen, followed by ""INTERNATIONAL"" and then ""IF YOU'RE USED TO THIS, YOU'RE IN FOR A WHOLE NEW WORLD OF PAIN."" The scene transitions to a large crowd in a public space, with the text ""POWERED BY THE NEW YORK TIMES"" at the top and ""VIDEO BY THE NEW YORK TIMES"" at the bottom. The text ""IF A U.S.",Politics
7317451980497046826,"The video is a compilation of various images and text related to the Church of Scientology. It starts with a split-screen image showing a man in a suit and tie on the left and a woman in a black outfit on the right, with the text ""Morbid Scientology Facts"" at the top. The images are accompanied by captions that provide information about the Church of Scientology, including the death of Scientology's wife, the death of Scientology's mother, the death of Scientology's son, and the death of Scientology's founder. The captions also mention the Church of Scientology's claims of black magic being its inner core and the death of Scientology's son being declared",Science & Technology
7346304747646848288,"A group of people are shopping in a grocery store. They are looking at the shelves, which are mostly empty. One of the people, wearing a blue jacket, is reaching for something on the shelf. The other people are standing around, looking at the shelves. One of the people is holding a box of cookies. The video ends with a close-up of the empty shelves.",Entertainment & Shows
7326266761773436166,"The video features a person wearing a black sweatshirt with white text on it. The person is standing in front of a wall with a guitar hanging on it. The person is speaking, and there are captions displayed on the screen. The captions are in Turkish and appear to be a conversation or a monologue. The person is gesturing with their hands while speaking.",1. News
