video_id,summary,category
7340748820130647326,The video shows two people sitting at a table in an office setting. One person is wearing a dark blue jacket and the other is wearing a patterned jacket. They are discussing California's new $20 minimum wage for fast food restaurants. The video also mentions a specific exemption for fast food chains that have bakeries and a donor named Glenn Flynn who owns two dozen Panera Bread locations in California. The video ends with a question about the sandwich being served at the table.,1. News
7365322515998068011,"The video starts with a group of people standing in front of a podium, with a backdrop of the U.S. Capitol building. The text ""STITCH INCOMING WOKE ENCAMPENTS EXPOSED!!!!"" is displayed at the top of the screen, and the text ""we're here to discuss the little Gazas that have risen up on campuses across America"" is shown at the bottom. The scene then transitions to a person standing in front of a tent, with the text ""I'm at one of these little Gazas right now and I'm here to expose it for what it really is."" The person is wearing a denim jacket and a gray hood",1. News
7323689375043243269,"The video features a white cat standing on a blue couch in a well-lit room with wooden floors and a chandelier. The cat is holding a small object in its paws and appears to be looking at the camera. The text on the screen reads ""Вам покачиваю карьинкикой у убомору"" (I am making friends with the cat), followed by ""У купирующей среди рынку, якошиваются все без домаш",Nonprofits & Activism
7341253553245408558,"The video features a person in a light blue shirt with a floral pattern, wearing a necklace and pearl earrings, standing in a room with a beige wall and a window in the background. The person is seen applying makeup, using a brush and a bottle of foundation. They are also seen holding a small object, possibly a makeup brush or a makeup product, and using it to apply makeup to their face. The person is seen talking and gesturing with their hands while applying makeup. The video also includes text overlays that provide context and information about the person's situation and goals.",21. Beauty Care
7395058028594122014,"The video features a series of individuals in various settings, each with a caption that appears at the bottom of the screen. The captions are in a different language, suggesting that the video may be in a non-English language. The individuals are seen in different poses and locations, including a podium, a car, a beach, and a store. The video does not provide any additional context or information about the individuals or their actions.",Sports
7407322364309949728,"The video shows a group of people performing on stage. They are dressed in casual clothing and are dancing energetically. The stage is brightly lit with colorful lights, and the background features a large screen with a pink and blue design. The performers are moving in sync with each other, and the audience can be seen in the foreground, watching the performance. The video also includes a text overlay that reads ""I don't wanna die Before we love, we love, this feeling, babe Cause it's enough, enough, can't be this way Before we love, we love, this feeling, babe I love it, I like it, but I don't wanna die Ooh,","Music, Singing, & Dancing"
7354696392129924385,"The video showcases a series of close-up shots of a red sports car at a car show. The car is detailed with a carbon fiber body and black wheels. The video begins with a close-up of the car's side, highlighting its sleek design and the ""TORQUE"" badge on the rear. The car is then shown from the front, revealing its aggressive stance and the ""Porsche"" logo on the hood. The video captures the car's movement as it is driven around the show floor, with people in the background observing the vehicle. The car's performance is emphasized as it accelerates and maneuvers through the show. The video concludes with a wider shot of the car being driven",1. News
7223384947938053418,"The video shows a person wearing a dark blue shirt with green text on it. The person is standing in a kitchen with a tiled floor. There are two armadillos on the floor, one is light-colored and the other is dark-colored. The text on the screen reads, ""Armadillos have been given a reputation, specifically the nine banded armadillo that is from the American South. And the reason for this is because they are known for being able to carry leprosy. Leprosy is a very ancient disease that is actually in modern times, not only very curable, but it's actually kind of a weak disease. It basically, if it's too",Science & Technology
7366736772253977889,"The video starts with an aerial view of a coastal town, surrounded by lush green trees and a body of water. The text overlay reads, ""Is a country still a country if it sinks?"" This sets the stage for the discussion of Tuvalu, a small island nation in the Pacific. The video then transitions to a map of the Pacific, highlighting Tuvalu and its surrounding islands. The text overlay reads, ""Tuvalu is a small country in the Pacific made up of nine coral islands."" The video then shows a group of people walking along a beach, with the text overlay reading, ""The sea level in Tuvalu is now 15 cm higher than it was",Politics
7395616033127648554,"The video shows a person in a black outfit standing in a room. The person is holding a black bag and appears to be taking a selfie in front of a mirror. The room has a bed with a yellow blanket, a dresser with a mirror, and a TV. The person is wearing a black shirt and black pants. The video also includes text overlays that read ""berbine you startle and you ave a high cortisol fat & stubborn belly fat was"" and ""berbine you startle and you ave a high cortisol fat & stubborn belly fat was.""",1. News
