video_id,summary,category
7340748820130647326,"The video shows two people sitting at a table in an office setting. One person is wearing a dark blue jacket and the other is wearing a patterned jacket. They are discussing California's new $20 minimum wage for fast food restaurants. The person in the patterned jacket asks why there is a specific exemption for fast food chains that have bakeries. The person in the dark blue jacket responds that they just felt like that was fair. The person in the patterned jacket then asks if the sandwich is from Panera Bread, and the person in the dark blue jacket responds that it is not.",Politics
7365322515998068011,"The video starts with a group of people standing in front of a podium, with a backdrop of the U.S. Capitol building. The text on the screen reads ""STITCH INCOMING WOKE ENCAMPENTS EXPOSED!!!!"" and ""we're here to discuss the little Gazas that have risen up on campuses across America."" The scene then transitions to a person standing in a park, with tents and a sign that reads ""JEWS AGAINST GENOCIDE"" in the background. The person is wearing a denim jacket and a backpack. The video then shows a close-up of a sign that reads ""JEWS AGAINST GEN",1. News
7323689375043243269,"The video features a white cat standing on a blue couch in a well-lit room with wooden floors and a chandelier. The cat is holding a small object in its paws, possibly a toy or a treat. The cat appears to be interacting with someone off-camera, as it is looking towards the person. The text on the screen reads ""Вам покачиваю карьерикикой у любому человеку, викуную среди рынку, аккулу ели весел",Friends
7341253553245408558,"The video features a person in a light blue shirt with a floral pattern, wearing a necklace and pearl earrings, standing in a room with a beige wall and a window in the background. The person is seen applying makeup, using a brush and a bottle of foundation. They are also seen holding a small object, possibly a makeup brush or a makeup product, and using it to apply makeup to their face. The person is seen talking and gesturing with their hands while applying makeup. The video also includes text overlays that provide context to the person's actions and the situation they are in.",2. News
7395058028594122014,"The video features a series of individuals in various settings, each with a caption that appears at the bottom of the screen. The captions are in a different language, suggesting that the video may be in a non-English language. The individuals are seen in different poses and locations, including a podium, a car, a beach, and a store. The video does not provide any additional context or information about the individuals or their actions.",Sports
7407322364309949728,"The video shows a group of people performing on stage. They are dressed in casual clothing and are dancing energetically. The stage is brightly lit with colorful lights, and the background features a large screen with a pink and blue design. The performers are moving in sync with each other, and the audience can be seen in the foreground, watching the performance. The video also includes a text overlay that reads ""I don't wanna die Before we love, we love, this feeling, babe Cause it's enough, enough, can't be this way Before we love, we love, this feeling, babe I love it, I like it, but I don't wanna die Ooh,","Music, Singing, & Dancing"
7354696392129924385,"The video showcases a series of close-up shots of a red sports car at a car show. The car is detailed with a carbon fiber body and black wheels. The video begins with a close-up of the car's side, highlighting its sleek design and the ""TORQUE"" logo on the rear. The car is then shown from the front, revealing its aggressive stance and the ""Porsche"" logo on the hood. The video captures the car's movement as it is driven around the show floor, with people observing it from a distance. The car's performance is evident as it accelerates and maneuvers through the show area. The video concludes with a wider shot of the car being driven",1. News
7223384947938053418,"The video shows a person wearing a dark shirt with green text on it, standing in a kitchen. The person is interacting with a small animal, possibly a puppy, and a larger animal, possibly a cat. The person is holding the smaller animal and the larger animal is on the floor. The text on the screen reads ""armadillos have been given a reputation, specifically the nine banded armadillo that is from the American South. And the reason for this is because they are known for being able to carry leprosy. Leprosy is a very ancient disease that is actually in modern times, not only very curable, but it's actually kind of a weak disease. It basically,",Sports
7366736772253977889,"The video starts with an aerial view of a coastal town, surrounded by lush green trees and a body of water. The text overlay reads, ""Is a country still a country if it sinks?"" This sets the stage for the discussion of Tuvalu, a small island nation in the Pacific. The video then transitions to a map of the Pacific, highlighting Tuvalu and its surrounding islands. The text overlay reads, ""Tuvalu is a small country in the Pacific made up of nine coral islands."" The video then shows a group of people walking along a beach, with the text overlay reading, ""The sea level in Tuvalu is now 15 cm higher than it was",Politics
7395616033127648554,"The video shows a woman in a black outfit standing in a room. She is holding a black bag and appears to be talking to the camera. The room has a bed, a mirror, and some clothes on the floor. The woman is wearing a black shirt and black pants.",13. Beauty Care
7302484543691328810,"The video is a series of black screens with white text. The text reads ""EMERGENCY RELIEF DISTRICT OCTOBER 1TH, 2023. Stop the killing. Stop hate. Time to donate."" The text is repeated multiple times throughout the video. The video does not contain any other visual elements or audio.",1. News
7383627859803393313,"The video shows a man sitting at a desk in an office, wearing a white polo shirt and black pants. He is speaking and gesturing with his hands. The background shows a computer monitor and some papers on the desk. The text on the screen changes throughout the video, indicating different topics being discussed. The man appears to be giving an interview or commentary on various issues.",Sports
7366011789085035809,"A man in a suit and tie is standing at a podium on a stage at a conference. He is holding a cane and speaking into a microphone. There is a large screen behind him that displays the text ""antwortung führen. In Verantwortung."" The man is surrounded by other people, some of whom are taking photos or videos.",Politics
7320342127790148907,"The video depicts a police officer in a black uniform with a badge and a name tag standing in front of a row of blue lockers. The officer is wearing a black beanie and a black jacket with a police badge on the left side. The background is a plain wall with a window on the left side. The text ""TYRANT COPS MAKE BIG MISTAKE"" is displayed at the top of the screen, followed by ""silverthorne Colorado - fIslam amendment"" and ""Amaganset Press."" The officer is seen gesturing with their hands, possibly explaining something. The video continues with the officer standing in front of the lockers, still gesturing",News
